continent,country,alcohol_consumption_both,alcohol_consumption_male,alcohol_consumption_female,annual_temperature,liver_cirrhosis_death_rates_male,liver_cirrhosis_death_rates_female
Africa,Algeria,0.6300,1.0900,0.1700,23,19,11.7
Africa,Angola,7.8300,12.3900,3.4800,22,63.4,26.6
Africa,Benin,2.2300,3.5900,0.9000,27,57.4,41
Africa,Botswana,6.6100,11.1000,2.6100,21,23.2,10.1
Africa,Burkina Faso,11.0500,18.5000,3.8500,28,43.8,38.5
Africa,Burundi,7.4500,12.2200,2.8900,20,50.6,31.8
Africa,Cameroon,5.5200,8.7600,2.3200,25,76.4,56.9
Africa,Central African Republic,1.7100,2.7600,0.7100,25,45.8,28.7
Africa,Chad,1.2600,2.0700,0.4600,27,84.8,49.6
Africa,Comoros,1.1500,2,0.3000,24,41.2,30.3
Africa,Djibouti,0.3600,0.6000,0.0930,28,46.2,30.4
Africa,DR Congo,1.1000,1.7600,0.4600,24,44,25
Africa,Egypt,0.1400,0.2400,0.0370,22,200.4,121.6
Africa,Equatorial Guinea,6.9200,9.6300,3.1200,24,91.6,48.3
Africa,Eritrea,2.1100,3.5200,0.7300,26,56.9,34.2
Africa,Ethiopia,2.2000,3.6600,0.7800,22,54.3,29.7
Africa,Gabon,8.0800,12.2400,3.7000,25,74.3,34.2
Africa,Gambia,3.3600,5.7300,1.0900,27,59.3,41.3
Africa,Ghana,2.7800,4.3700,1.1600,27,77.5,36
Africa,Guinea,1.0900,1.9400,0.3600,26,63.8,47.2
Africa,Guinea-Bissau,5.5400,9.3200,2.0900,-27,49.4,35.9
Africa,Ivory Coast,3.0400,4.8300,1.1900,26,94.5,70.7
Africa,Kenya,2.1500,3.5100,0.8300,25,20.3,11.1
Africa,Liberia,5.3700,8.5800,2.2000,25,58.5,35.1
Africa,Libya,0.0270,0.0470,0.0070,22,32.9,18.4
Africa,Madagascar,1.9800,3.2200,0.7700,22,25.1,19.4
Africa,Malawi,4.0800,6.7600,1.5600,22,30.4,17.7
Africa,Mali,1.3100,2.2600,0.3900,28,52.9,36.8
Africa,Mauritania,0,0,0,28,53.5,37.6
Africa,Mauritius,4.7800,7.6700,2,23,21.9,4.5
Africa,Morocco,0.4900,0.8700,0.1300,17,16.2,9.5
Africa,Mozambique,2.6900,4.5300,1.0400,24,14.9,13.5
Africa,Namibia,3.1500,5.3000,1.2000,20,23.1,11.4
Africa,Niger,0.5200,0.8900,0.1500,27,42.1,30.2
Africa,Nigeria,6.1900,9.8400,2.4900,27,116.1,57.7
Africa,Rwanda,7.9600,13.1100,3.1100,19,39,23.5
Africa,Senegal,0.7300,1.3000,0.2200,28,46.8,27.4
Africa,Sierra Leone,5.3100,9.1900,1.4700,26,80.2,70.3
Africa,Somalia,0,0,0,27,49.9,33.3
Africa,South Africa,9.4500,15.7400,3.4600,18,28.9,9.9
Africa,Tanzania,12.0400,19.8900,4.3600,22,34.7,27.4
Africa,Togo,2.6600,4.2500,1.1000,27,84.8,49.6
Africa,Tunisia,2.0400,3.6100,0.5300,19,22,13.3
Africa,Uganda,12.4800,20.6100,4.9400,23,44,30.9
Africa,Zambia,4.4600,7.2600,1.7900,22,50.2,28.5
Africa,Lesotho,5.0800,8.6500,1.6700,12,21.8,13
Africa,Zimbabwe,4.5200,7.9400,1.6200,21,20.1,13.2
Asia,Afghanistan,0.0130,0.0220,0.0030,13,28.2,19.6
Asia,Armenia,4.6700,7.7000,2.1400,6,41.7,18.2
Asia,Azerbaijan,0.9800,1.6700,0.3200,12,53.8,36.2
Asia,Bangladesh,0,0,0,25,35.8,15.2
Asia,Bhutan,0.2100,0.3300,0.0770,9,47.5,20.4
Asia,Brunei,0.4600,0.6800,0.2100,26,9.1,8.5
Asia,Cambodia,7.8400,12.9000,3.2100,27,105,61.3
Asia,China,6.0400,9.3700,2.6000,6,14.6,8.3
Asia,Cyprus,10.8000,16.9200,4.7600,19,9.5,2.7
Asia,Georgia,9.4700,15.6100,4.1100,7,64.4,12.7
Asia,India,5.6100,9.0600,1.8900,24,45.8,14.7
Asia,Indonesia,0.2200,0.3700,0.0630,26,51.1,27.1
Asia,Iran,1.0100,1.7600,0.2500,17,11.4,7.7
Asia,Iraq,0.3700,0.6400,0.1000,22,9.5,5.2
Asia,Israel,4.3800,6.8400,2.0200,20,6.6,3.3
Asia,Japan,10.0900,15.5800,4.9300,10,10.9,4.3
Asia,Jordan,0.5200,0.8900,0.1400,18,20.6,14.6
Asia,Kazakhstan,5,8.3300,2.0200,6,86.9,42.4
Asia,Kyrgyzstan,4.8500,8.3800,1.5100,1,84.2,38.1
Asia,Laos,12.0800,19.1100,5.0900,23,38.7,18.3
Asia,Lebanon,1.5300,2.5800,0.4900,16,24.1,13.9
Asia,Malaysia,0.9300,1.4800,0.3500,25,18.1,8.7
Asia,Mongolia,5.9000,9.2300,2.7200,-1,91.3,64.3
Asia,Myanmar,2.1400,3.5700,0.8500,23,111.4,47.3
Asia,Nepal,0.6200,1.1000,0.2500,13,39.9,15.3
Asia,North Korea,4.1600,6.8900,1.6100,5,23.5,8.8
Asia,Oman,0.9200,1.2200,0.2300,25,13.2,9.5
Asia,Pakistan,0.3100,0.5200,0.0950,20,28.7,30.1
Asia,Philippines,7.0200,11.2200,2.8700,25,21.1,6.3
Asia,Qatar,1.5100,1.8100,0.3800,27,19.4,14.9
Asia,Saudi Arabia,0,0,0,25,31.9,21.8
Asia,South Korea,8.4500,12.7600,4.1700,11,18.5,4.5
Asia,Sri Lanka,2.8700,4.7500,1.1900,27,57.4,9.7
Asia,Syria,0.1900,0.3200,0.0470,18,17.8,12.8
Asia,Tajikistan,0.8800,1.4900,0.2600,3,39.9,28.1
Asia,Thailand,8.5000,13.7500,3.6100,26,36,11.5
Asia,Timor-Leste,0.5300,0.8400,0.2100,-25,24.6,11.9
Asia,Turkey,1.7700,3.1200,0.4800,11,14.2,7.5
Asia,Turkmenistan,3.0900,5.2600,1.0300,15,90.1,50.2
Asia,United Arab Emirates,3.8500,4.9700,0.8700,27,13.6,9.5
Asia,Uzbekistan,2.6100,4.4800,0.7900,13,46.2,31.7
Asia,Vietnam,7.9300,12.8400,3.1900,24,44.5,8.6
Asia,Yemen,0.0340,0.0590,0.0090,23,32.2,19.6
Europe,Albania,6.8200,11.0200,2.5300,11,15.8,6.2
Europe,Austria,11.9300,18.4200,5.7600,6,21.1,7.4
Europe,Belarus,10.9600,17.9300,5.1300,6,35.1,15.8
